variant,seed,scenario,reception,error_mode,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_count,RF_detection_time,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s,average_localization_clear_time_s_per_source,variant_hash,scene_hash
Gplus,14005,uniform,maximum,fixed_hash,20260912T090828039999Z-s14005-G-d53552d1,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,10,10,1.0,2612.307774,1878.3077735663858,9391.538867831929,115,575,109,30,20,0,True,,4.623307100002421,261.23077739999997,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,e67b83ad48d09569cacef1f54db30d8492ef64d90d1096f71ba906bb4439400d
Gplus,14006,uniform,maximum,smooth,20260912T090829046605Z-s14006-G-1bc0a42a,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,16,16,1.0,3112.363576,2598.363578341081,12991.817891705405,73,365,69,48,32,0,True,,4.106023800006369,194.5227235,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,8222a6e2c0dfd1a2eb1ab49e9c6f2b55c7c0090eaf5df1c2d2f10d56444295c4
G,14007,uniform,maximum,plus_one,20260912T090829282271Z-s14007-G-a1b5a2b2,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,10,10,1.0,2887.1876,2099.1875988843803,10495.937994421902,124,620,115,33,20,1,True,,4.2509302999969805,288.71876000000003,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,b97df491d51a90fbe398384d89c4b69c7d384f63bb6397c411e60d62c9665814
Gplus,14007,uniform,maximum,plus_one,20260912T090829766839Z-s14007-G-18cfcdd8,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,10,10,1.0,2876.82969,2075.8296895733656,10379.148447866828,126,630,118,33,20,1,True,,5.243744699997478,287.682969,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,b97df491d51a90fbe398384d89c4b69c7d384f63bb6397c411e60d62c9665814
Gplus,14008,uniform,maximum,minus_one,20260912T090830081764Z-s14008-G-70d474f5,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,16,16,1.0,2930.543926,2265.5439257020935,11327.719628510467,97,485,94,54,32,2,True,,5.003124499999103,183.158995375,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,c858fca314e3a109f09bbfa824ca610f142fb86ea0082c1ca3c94bace075a678
G,14008,uniform,maximum,minus_one,20260912T090829995732Z-s14008-G-01ea80cc,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,3005.305768,2339.305764188356,11696.52882094178,96,480,88,66,32,6,True,,5.139192499991623,187.8316105,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,c858fca314e3a109f09bbfa824ca610f142fb86ea0082c1ca3c94bace075a678
G,14009,boundary,minimum,fixed_hash,20260912T090831992308Z-s14009-G-292b4c8f,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,10,10,1.0,4211.723979,3342.723980236197,16713.619901180984,139,695,124,30,20,0,True,,5.5323381000052905,421.1723979,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,6281072de17dc348a01ec304dcb410273a486c5a86b9498a3da7be0954131e07
G,14011,boundary,minimum,plus_one,20260912T090833661485Z-s14011-G-2450c789,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,10,10,1.0,3347.916864,2559.9168638373285,12799.584319186642,124,620,115,33,20,1,True,,4.069162500003586,334.7916864,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,7b1cafb3199c65231bc78f54f75eed21d7421302b9e5de27287281221f8e32f7
Gplus,14009,boundary,minimum,fixed_hash,20260912T090832267728Z-s14009-G-54998dec,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,10,10,1.0,4245.213653,3358.2136528650735,16791.068264325368,142,710,127,30,20,0,True,,6.693608200002927,424.52136529999996,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,6281072de17dc348a01ec304dcb410273a486c5a86b9498a3da7be0954131e07
G,14010,boundary,minimum,smooth,20260912T090832805771Z-s14010-G-9f541a7f,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,4346.724437,3399.724435765119,16998.622178825593,148,740,127,48,32,0,True,,7.1995859000016935,271.6702773125,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,88e0b536332cf6a5bf91f75ff764bc2d53f7df064a70833819c7006d6ea8853a
