RF_detection_count,RF_detection_time,audit_errors,audit_pass,average_localization_clear_time_s_per_source,channel_switch_time,clear_count,clear_ratio,clear_time,client_error,completion_proved,error_mode,experimental_events,future_timed_fallbacks,jammer_count,kind,measured_program_wall_time_s,move_distance,move_time,optical_failed_count,optical_time,parameter_hash,reception,region_checks,run_id,scenario,scene_hash,seed,strategy_hash,total_time,variant,variant_hash
114,570,,True,241.3686613846154,107,13,1.0,26,,True,fixed_hash,0,0,13,Future,5.258588600001531,11963.963009415216,2392.792601883043,1,42,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,45,20260912T111924203242Z-s21002-G-577ce0a3,uniform,61066ee21e6f607338b084c7154c25c363676be6e4440145c6b1d13398ac5f0a,21002,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3137.792598,FutureAnchor,647c7e229ba59fae93958e3e8163c8df0930392c823c3a96e07fa684dc474c39
114,570,,True,241.3686613846154,107,13,1.0,26,,True,fixed_hash,0,0,13,Future,5.336072199992486,11963.963009415216,2392.792601883043,1,42,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,45,20260912T111924555895Z-s21002-G-0cda176e,uniform,61066ee21e6f607338b084c7154c25c363676be6e4440145c6b1d13398ac5f0a,21002,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3137.792598,FutureRoute,0414f01a1f13ed58eb3a541389f2561a33062003b4baa3ce0e24792a7f2018b6
107,535,,True,235.7082486923077,100,13,1.0,26,,True,fixed_hash,0,0,13,Gplus,3.462378800002625,11821.036161147822,2364.2072322295644,0,39,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,38,20260912T111928199932Z-s21003-G-a798accc,uniform,b51fdb100df625facd4a2c1be425b07fa2153e14dc158c2891ca508df34702dd,21003,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3064.207233,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
108,540,,True,234.99195515384616,99,13,1.0,26,,True,fixed_hash,10,0,13,Optical,4.238574399991194,11754.477083749349,2350.8954167498696,0,39,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,39,20260912T111928762652Z-s21003-G-fd3d57c1,uniform,b51fdb100df625facd4a2c1be425b07fa2153e14dc158c2891ca508df34702dd,21003,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3054.895417,Optical,e92bab2eef9ee23dc696cd258d4c433a2e100841b6992ef174c34ae7b9756e4f
108,540,,True,234.99195515384616,99,13,1.0,26,,True,fixed_hash,10,0,13,Optical,4.222546600009082,11754.477083749349,2350.8954167498696,0,39,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,39,20260912T111928918923Z-s21003-G-aab164ad,uniform,b51fdb100df625facd4a2c1be425b07fa2153e14dc158c2891ca508df34702dd,21003,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3054.895417,OpticalRisk,3102d80144d068104997756caf0de4648c1aeadef8f0b77777bdbb218c7905fc
110,550,,True,250.9339206923077,102,13,1.0,26,,True,fixed_hash,0,0,13,Future,4.350170299992897,12725.704833263504,2545.1409666527006,0,39,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,41,20260912T111928948831Z-s21003-G-03b71cdc,uniform,b51fdb100df625facd4a2c1be425b07fa2153e14dc158c2891ca508df34702dd,21003,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3262.140969,FutureAnchor,647c7e229ba59fae93958e3e8163c8df0930392c823c3a96e07fa684dc474c39
107,535,,True,235.7082486923077,100,13,1.0,26,,True,fixed_hash,0,0,13,Route,3.7181803999992553,11821.036161147822,2364.2072322295644,0,39,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,38,20260912T111930014115Z-s21003-G-c8cb0fc0,uniform,b51fdb100df625facd4a2c1be425b07fa2153e14dc158c2891ca508df34702dd,21003,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3064.207233,RouteOrder,7c61cba261b6c1f96d32ec131e22c54c39d8a742f4c25f2bad4d4a349c554c54
110,550,,True,250.9339206923077,102,13,1.0,26,,True,fixed_hash,0,0,13,Future,4.338068299999577,12725.704833263504,2545.1409666527006,0,39,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,41,20260912T111929594197Z-s21003-G-631ca40e,uniform,b51fdb100df625facd4a2c1be425b07fa2153e14dc158c2891ca508df34702dd,21003,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3262.140969,FutureRoute,0414f01a1f13ed58eb3a541389f2561a33062003b4baa3ce0e24792a7f2018b6
90,450,,True,195.0071914375,86,16,1.0,32,,True,fixed_hash,0,0,16,Gplus,3.6020825000014156,12520.57531563844,2504.115063127688,0,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,50,20260912T111931789562Z-s21004-G-095fb55e,uniform,2ebedc7037671cdac7be9d33edf908f006fb277981d1f054e20cd1166d16febf,21004,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3120.115063,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
90,450,,True,195.688619375,86,16,1.0,32,,True,fixed_hash,5,0,16,Optical,3.706132699997397,12560.08954024568,2512.017908049136,1,51,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,51,20260912T111933129853Z-s21004-G-73597591,uniform,2ebedc7037671cdac7be9d33edf908f006fb277981d1f054e20cd1166d16febf,21004,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3131.01791,Optical,e92bab2eef9ee23dc696cd258d4c433a2e100841b6992ef174c34ae7b9756e4f
