variant,source_count,n,mean_per_source
H0,10,26,713.0907569884615
H0,11,38,681.6780982583732
H0,12,33,616.4327889823232
H0,13,25,583.3293897261539
H0,14,27,525.101339978836
H0,15,31,508.2164210494624
H0,16,20,417.22711218125
compact,10,26,634.7046927269231
compact,11,38,575.1468730382775
compact,12,33,520.9477837449494
compact,13,25,478.0998794615385
compact,14,27,431.0974949365079
compact,15,31,401.1507674774193
compact,16,20,336.951528903125
