variant,seed,scenario,reception,error_mode,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_count,RF_detection_time,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s,average_localization_clear_time_s_per_source,variant_hash,scene_hash
tight_shared,12001,uniform,mixed,fixed_hash,20260912T090002275105Z-s12001-G-d99dd865,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,5f28316e3eb177fac0762917090bf305f39346b742ed5b1250d5925d8cbad870,13,13,1.0,2870.465572,2105.465572458491,10527.327862292454,117,585,112,42,26,1,True,,3.9609694999962812,220.805044,6e84d03ae2684f508fde06167a2f1c0349e16393abbab0fa8911111ae217541d,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
direct_balanced,12001,uniform,mixed,fixed_hash,20260912T090002214325Z-s12001-G-5a1f13e8,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,13,13,1.0,2885.27678,2102.2767812152806,10511.383906076404,120,600,115,42,26,1,True,,4.058193699995172,221.9443676923077,bbd4ba60ca232b752b9bbe04e37df95c81d0442c6765b7643ddcb37059cdb7f8,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
G,12001,uniform,mixed,fixed_hash,20260912T090002179286Z-s12001-G-19845746,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,13,13,1.0,2900.307294,2093.307291544149,10466.536457720744,124,620,119,42,26,1,True,,4.118216199989547,223.1005610769231,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
intermediate,12001,uniform,mixed,fixed_hash,20260912T090002250842Z-s12001-G-f12911df,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,13,13,1.0,2900.440848,2099.440848272557,10497.204241362786,123,615,118,42,26,1,True,,4.155165599993779,223.11083446153847,8c161c6030e5d1ce11488c0af11b5dd0314795d09811c0cf614b59fac5e7b2cf,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
no_commit,12001,uniform,mixed,fixed_hash,20260912T090002276778Z-s12001-G-b811e4ad,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,406d2c64289051b3c073155c29c269de2b145c4eba8d1b8206e6fc64617b0fe6,13,13,1.0,2902.60079,2101.6007897312315,10508.003948656158,123,615,118,42,26,1,True,,4.1816182999900775,223.27698384615385,59cd3e5ba151647232602dcd2c2b14dd3b67048e1b8fd6127a9a80106971989a,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
explore0.4,12001,uniform,mixed,fixed_hash,20260912T090002240507Z-s12001-G-3ae8633d,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,13,13,1.0,2967.27678,2102.2767812152806,10511.383906076404,134,670,127,42,26,1,True,,4.299002800005837,228.25206,99d767430e43bd7bfe6507332c1b92f7f4c31b513bcae59705b6b0494939fcfb,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
explore0.25,12001,uniform,mixed,fixed_hash,20260912T090002230298Z-s12001-G-7121c982,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,13,13,1.0,3087.125549,2046.125547884984,10230.62773942492,164,820,156,39,26,0,True,,5.635184600003413,237.47119607692306,7462fef71843a794d2eac758ffaece3e7d8985da98245168af10cec8a5d01a85,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
explore0.1,12001,uniform,mixed,fixed_hash,20260912T090002216382Z-s12001-G-cb626445,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,13,13,1.0,3318.818624,1981.818625350495,9909.093126752476,213,1065,207,39,26,0,True,,7.157892200004426,255.2937403076923,004427724a1a9f2a847adf3a87d1dc1866cf90a470988a3b93c90d17951576ce,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
explore0.1,12002,uniform,mixed,fixed_hash,20260912T090006490385Z-s12002-G-deba226d,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,2792.694569,2118.6945678581646,10593.472839290824,100,500,94,48,32,0,True,,4.882754200007184,174.5434105625,004427724a1a9f2a847adf3a87d1dc1866cf90a470988a3b93c90d17951576ce,d2f0467af85ec9881ec1bd6ed68f956aa5938063ff9d0c20d74ec8d8f7fd1831
G,12002,uniform,mixed,fixed_hash,20260912T090006436655Z-s12002-G-4e060a86,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,2804.465918,2189.4659177117173,10947.329588558587,90,450,85,48,32,0,True,,5.159583999993629,175.279119875,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,d2f0467af85ec9881ec1bd6ed68f956aa5938063ff9d0c20d74ec8d8f7fd1831
