seed,variant,all_success,total_time,mean_time_per_source,policy_wall_time_s,optical_failed_count
1101,compact,True,6368.073906,578.9158096363636,4.75523229999817,4
1101,before,True,6368.073906,578.9158096363636,4.556238299992401,4
1101,after,True,6352.146032,577.4678210909091,4.365518100006739,4
1102,compact,True,5957.210524,541.564593090909,4.007571399997687,5
1102,before,True,5957.210524,541.564593090909,4.55022230000759,5
1102,after,True,5922.763584,538.4330530909091,4.062252300005639,5
1103,compact,True,6459.59346,587.2357690909091,4.348493500001496,2
1103,before,True,6436.926163,585.1751057272727,4.636126999990665,2
1103,after,True,6445.723819,585.9748926363636,4.213214000003063,2
1104,compact,True,5479.12945,342.445590625,4.0162242999940645,6
1104,before,True,5412.640727,338.2900454375,5.095490700012306,7
1104,after,True,5453.251179,340.8281986875,3.9924972000007983,6
1105,compact,True,5980.522759,543.6838871818182,4.399385099997744,4
1105,before,True,5980.522759,543.6838871818182,5.114413999996032,4
1105,after,True,5980.522759,543.6838871818182,4.499481500010006,4
1106,compact,True,6121.638181,437.25987007142857,4.592502100000274,4
1106,before,True,6138.570588,438.46932771428567,5.097261700007948,5
1106,after,True,6121.638181,437.25987007142857,4.431428299998515,4
1107,compact,True,5543.80449,395.986035,4.530637999996543,5
1107,before,True,5532.776988,395.1983562857143,5.402571200000239,5
1107,after,True,5543.80449,395.986035,3.8942711999989115,5
1108,compact,True,5981.320403,398.7546935333333,4.148328199997195,2
1108,before,True,5957.381645,397.1587763333334,4.713441400002921,2
1108,after,True,5930.718482,395.38123213333336,5.3701696999924025,3
1109,compact,True,7063.087191,706.3087191,5.237604599999031,3
1109,before,True,7054.119658,705.4119658,7.28523259999929,5
1109,after,True,7081.166753,708.1166753,6.76900279999245,5
1110,compact,True,5614.704356,374.3136237333334,5.165391200003796,4
1110,before,True,5630.112235,375.34081566666663,6.163449899991974,5
1110,after,True,5614.704356,374.3136237333334,5.292117799996049,4
