seed,variant,run_id,all_success,clear_count,engine_source_count,total_time,mean_time_per_source,no_signal_count,optical_failed_count,fallback_count,policy_wall_time_s,client_error
9,E_combo,20260912T101211925796Z-281cd017,True,12,12,5880.005196,490.000433,257,0,0,6.268226100000902,
9,H0,20260912T101211927329Z-a9576b8f,True,12,12,6465.480365,538.7900304166667,246,0,0,5.2322702999954345,
10,E_combo,20260912T101211931969Z-314dcf18,True,14,14,6233.997569,445.28554064285714,229,0,0,6.172164799994789,
10,H0,20260912T101211922746Z-f4bceaac,True,14,14,7845.22887,560.3734907142857,259,0,0,5.465191199997207,
