seed,variant,all_success,total_time,mean_time_per_source,policy_wall_time_s,optical_failed_count
1101,compact,True,6368.073906,578.9158096363636,4.634434500010684,4
1101,partial,True,6368.073906,578.9158096363636,5.394326900001033,4
1102,compact,True,5957.210524,541.564593090909,4.5733670000045095,5
1102,partial,True,5957.210524,541.564593090909,5.019462600001134,5
1103,compact,True,6459.59346,587.2357690909091,5.242931900007534,2
1103,partial,True,6459.59346,587.2357690909091,5.609008799990988,2
1104,compact,True,5479.12945,342.445590625,4.535125900001731,6
1104,partial,True,5479.12945,342.445590625,7.588192499999423,6
1105,compact,True,5980.522759,543.6838871818182,6.469312500004889,4
1105,partial,True,5980.522759,543.6838871818182,7.125625799992122,4
1106,compact,True,6121.638181,437.25987007142857,7.888767099997494,4
1106,partial,True,6121.638181,437.25987007142857,7.639281799987657,4
1107,compact,True,5543.80449,395.986035,7.051559100000304,5
1107,partial,True,5543.80449,395.986035,7.477238000006764,5
1108,compact,True,5981.320403,398.7546935333333,5.955097800004296,2
1108,partial,True,5981.320403,398.7546935333333,7.1194751000002725,2
1109,compact,True,7063.087191,706.3087191,6.935335499991197,3
1109,partial,True,7063.087191,706.3087191,8.553524700007983,3
1110,compact,True,5614.704356,374.3136237333334,5.945409899999504,4
1110,partial,True,5614.704356,374.3136237333334,6.844518099998822,4
