seed,variant,all_success,total_time,mean_time_per_source,policy_wall_time_s,optical_failed_count
1101,compact,True,6368.073906,578.9158096363636,3.5089426999911666,4
1101,minimal,True,6368.073906,578.9158096363636,3.4965210999944247,4
1102,compact,True,5957.210524,541.564593090909,3.7412470999988727,5
1102,minimal,True,5957.210524,541.564593090909,4.030236199992942,5
1103,compact,True,6459.59346,587.2357690909091,4.309217699992587,2
1103,minimal,True,6438.409755,585.3099777272727,3.9671777000039583,5
1104,compact,True,5479.12945,342.445590625,3.8521370999951614,6
1104,minimal,True,5465.008511,341.5630319375,4.312182599998778,8
1105,compact,True,5980.522759,543.6838871818182,4.82423800000106,4
1105,minimal,True,5979.253416,543.5684923636363,4.898076800003764,6
1106,compact,True,6121.638181,437.25987007142857,4.682967800006736,4
1106,minimal,True,6101.939491,435.8528207857143,4.155172299986589,5
1107,compact,True,5543.80449,395.986035,3.9312076000060188,5
1107,minimal,True,5534.553726,395.3252661428572,5.39704109999002,4
1108,compact,True,5981.320403,398.7546935333333,5.223407199999201,2
1108,minimal,True,6005.005553,400.33370353333333,5.576409900008002,8
1109,compact,True,7063.087191,706.3087191,4.981487600001856,3
1109,minimal,True,7070.624809,707.0624809,6.243478499993216,7
1110,compact,True,5614.704356,374.3136237333334,4.80246979999356,4
1110,minimal,True,5617.421509,374.49476726666666,5.049575199998799,4
