seed,variant,all_success,total_time,mean_time_per_source,policy_wall_time_s,optical_failed_count
1391,stable,True,5511.511173,344.4694483125,7.098794999998063,6
1391,stable_rollout,True,5625.098676,351.56866725,10.68044500000542,6
1392,stable,True,6054.96502,403.66433466666666,6.265621999991708,0
1392,stable_rollout,True,6069.25943,404.61729533333335,10.489488499995787,7
1393,stable,True,6737.432127,561.45267725,10.447500700000091,4
1393,stable_rollout,True,6722.596591,560.2163825833334,14.458796699997038,5
1394,stable,True,6268.46591,626.846591,8.42680119999568,1
1394,stable_rollout,True,6249.798699,624.9798699,10.027950500007137,1
1395,stable,True,5830.873438,530.0794034545454,7.301288100003148,5
1395,stable_rollout,True,5847.192394,531.5629449090909,8.358731900007115,5
1396,stable,True,6291.330598,571.9391452727273,7.402584700001171,3
1396,stable_rollout,True,6309.072829,573.5520753636364,12.17097060001106,5
1397,stable,True,5815.966136,484.66384466666665,4.7515834999940125,2
1397,stable_rollout,True,5855.376147,487.94801225,4.85614779999014,2
1398,stable,True,6986.952526,698.6952526,4.182786899997154,0
1398,stable_rollout,True,6967.705852,696.7705852,6.422479400003795,0
1399,stable,True,6387.848731,532.3207275833333,5.513384000005317,6
1399,stable_rollout,True,6370.43804,530.8698366666666,11.748441699994146,5
1400,stable,True,6128.489412,437.7492437142857,4.443740200003958,0
1400,stable_rollout,True,6111.646242,436.5461601428571,8.197875400001067,0
