seed,variant,all_success,total_time,mean_time_per_source,policy_wall_time_s,optical_failed_count
1101,compact,True,6368.073906,578.9158096363636,5.824196100002155,4
1101,strip,True,6348.964482,577.1785892727273,6.393201600003522,2
1102,compact,True,5957.210524,541.564593090909,5.741246700010379,5
1102,strip,True,5987.533982,544.3212710909091,6.369203499998548,5
1103,compact,True,6459.59346,587.2357690909091,6.277357900005882,2
1103,strip,True,6500.387315,590.9443013636363,6.723302100013825,7
1104,compact,True,5479.12945,342.445590625,5.35751380000147,6
1104,strip,True,5447.967051,340.4979406875,5.368214000001899,5
1105,compact,True,5980.522759,543.6838871818182,5.392602699997951,4
1105,strip,True,5975.049485,543.1863168181818,6.070917199991527,5
1106,compact,True,6121.638181,437.25987007142857,6.1431970999983605,4
1106,strip,True,6089.168312,434.9405937142857,6.239230899998802,4
1107,compact,True,5543.80449,395.986035,5.908206699998118,5
1107,strip,True,5538.986584,395.64189885714285,5.9045785000053,5
1108,compact,True,5981.320403,398.7546935333333,6.263270499999635,2
1108,strip,True,6005.402781,400.3601854,5.948027499995078,8
1109,compact,True,7063.087191,706.3087191,6.885492399989744,3
1109,strip,True,7071.493218,707.1493217999999,6.913516100001289,7
1110,compact,True,5614.704356,374.3136237333334,5.05271800000628,4
1110,strip,True,5616.354779,374.42365193333336,5.706342900011805,3
