variant,seed,scenario,reception,error_mode,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_count,RF_detection_time,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s,average_localization_clear_time_s_per_source,variant_hash,scene_hash
mean_error,12001,uniform,mixed,fixed_hash,20260912T085708480434Z-s12001-G-79113873,0521d11defc65f2550d0dba237bca66090ad6770331906f0ea94802145a0cff9,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,13,13,1.0,2888.832303,2105.832303567964,10529.16151783982,120,600,115,42,26,1,True,,4.499738700003945,222.21786946153847,f8a907ee57c80b0a373d467f0ec0310128e2d0901f5869ce80429e7b19158d64,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
direct_balanced,12001,uniform,mixed,fixed_hash,20260912T085708493707Z-s12001-G-e953f71a,0521d11defc65f2550d0dba237bca66090ad6770331906f0ea94802145a0cff9,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,13,13,1.0,2885.27678,2102.2767812152806,10511.383906076404,120,600,115,42,26,1,True,,4.663804299998446,221.9443676923077,bbd4ba60ca232b752b9bbe04e37df95c81d0442c6765b7643ddcb37059cdb7f8,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
direct_mean,12001,uniform,mixed,fixed_hash,20260912T085708487601Z-s12001-G-f6599502,0521d11defc65f2550d0dba237bca66090ad6770331906f0ea94802145a0cff9,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,13,13,1.0,2885.27678,2102.2767812152806,10511.383906076404,120,600,115,42,26,1,True,,4.749024399992777,221.9443676923077,9f003b9613417beef1cde0108cb2216b6d0ba4c17c477b0d11de450e42cda031,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
direct_opt80,12001,uniform,mixed,fixed_hash,20260912T085708528613Z-s12001-G-e467c77a,0521d11defc65f2550d0dba237bca66090ad6770331906f0ea94802145a0cff9,46f860bff62566d2434e4546ac541f421ef4e86e3418fcd986db2b131f47c59c,13,13,1.0,2898.675818,2092.6758169806476,10463.379084903238,124,620,118,42,26,1,True,,4.743170600006124,222.97506292307693,42031339499960150646ef6b04f056525eaa3ab6fe95a86e838e52d2d539ff69,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
G,12001,uniform,mixed,fixed_hash,20260912T085708450067Z-s12001-G-101c37fc,0521d11defc65f2550d0dba237bca66090ad6770331906f0ea94802145a0cff9,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,13,13,1.0,2900.307294,2093.307291544149,10466.536457720744,124,620,119,42,26,1,True,,4.8270056000037584,223.1005610769231,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
direct_optical,12001,uniform,mixed,fixed_hash,20260912T085708517906Z-s12001-G-b0cae487,0521d11defc65f2550d0dba237bca66090ad6770331906f0ea94802145a0cff9,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,13,13,1.0,2916.777104,2111.777104646854,10558.885523234268,124,620,120,39,26,0,True,,4.964806599993608,224.36746953846153,675dcab04d76def1d3d85131850517d77bc93571c9e9135b98926c2c93d64bb4,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
direct,12001,uniform,mixed,fixed_hash,20260912T085708474305Z-s12001-G-067b904b,0521d11defc65f2550d0dba237bca66090ad6770331906f0ea94802145a0cff9,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,13,13,1.0,2896.827647,2089.827645266219,10449.138226331095,124,620,119,42,26,1,True,,5.027688099988154,222.83289592307693,b0ba069e0ddf9e450462ee36424fb4e661d9630f94a1b741599a9e43b58e8fea,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
direct_area,12001,uniform,mixed,fixed_hash,20260912T085708517906Z-s12001-G-252fd29f,0521d11defc65f2550d0dba237bca66090ad6770331906f0ea94802145a0cff9,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,13,13,1.0,2948.267081,2122.267083059147,10611.335415295734,128,640,121,39,26,0,True,,7.499923399998806,226.78977546153845,e640f04559a4fb3de77d7238c824a92c8b74f3922659675db53f16f5dcb59f4b,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
G,12002,uniform,mixed,fixed_hash,20260912T085713157015Z-s12002-G-ac6c5be5,0521d11defc65f2550d0dba237bca66090ad6770331906f0ea94802145a0cff9,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,2804.465918,2189.4659177117173,10947.329588558587,90,450,85,48,32,0,True,,5.728804600003059,175.279119875,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,d2f0467af85ec9881ec1bd6ed68f956aa5938063ff9d0c20d74ec8d8f7fd1831
mean_error,12002,uniform,mixed,fixed_hash,20260912T085713454118Z-s12002-G-f8865ba6,0521d11defc65f2550d0dba237bca66090ad6770331906f0ea94802145a0cff9,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,2806.701376,2179.7013773812187,10898.506886906094,92,460,87,48,32,0,True,,6.179422600005637,175.418836,f8a907ee57c80b0a373d467f0ec0310128e2d0901f5869ce80429e7b19158d64,d2f0467af85ec9881ec1bd6ed68f956aa5938063ff9d0c20d74ec8d8f7fd1831
direct,12002,uniform,mixed,fixed_hash,20260912T085713387369Z-s12002-G-fe9a5247,0521d11defc65f2550d0dba237bca66090ad6770331906f0ea94802145a0cff9,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,2812.515708,2191.5157067060536,10957.578533530268,91,455,86,48,32,0,True,,6.6505108999990625,175.78223175,b0ba069e0ddf9e450462ee36424fb4e661d9630f94a1b741599a9e43b58e8fea,d2f0467af85ec9881ec1bd6ed68f956aa5938063ff9d0c20d74ec8d8f7fd1831
direct_optical,12002,uniform,mixed,fixed_hash,20260912T085713711113Z-s12002-G-7ce73080,0521d11defc65f2550d0dba237bca66090ad6770331906f0ea94802145a0cff9,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,2810.283439,2195.283438615646,10976.41719307823,90,450,85,48,32,0,True,,6.780355099996086,175.6427149375,675dcab04d76def1d3d85131850517d77bc93571c9e9135b98926c2c93d64bb4,d2f0467af85ec9881ec1bd6ed68f956aa5938063ff9d0c20d74ec8d8f7fd1831
direct_balanced,12002,uniform,mixed,fixed_hash,20260912T085713506329Z-s12002-G-f3cdf3dc,0521d11defc65f2550d0dba237bca66090ad6770331906f0ea94802145a0cff9,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,2797.303527,2177.303524937571,10886.517624687856,91,455,85,48,32,0,True,,6.97087360000296,174.8314704375,bbd4ba60ca232b752b9bbe04e37df95c81d0442c6765b7643ddcb37059cdb7f8,d2f0467af85ec9881ec1bd6ed68f956aa5938063ff9d0c20d74ec8d8f7fd1831
direct_mean,12002,uniform,mixed,fixed_hash,20260912T085713502175Z-s12002-G-f99ec5ba,0521d11defc65f2550d0dba237bca66090ad6770331906f0ea94802145a0cff9,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,2804.014761,2177.014760916475,10885.073804582375,92,460,87,48,32,0,True,,7.074089100002311,175.2509225625,9f003b9613417beef1cde0108cb2216b6d0ba4c17c477b0d11de450e42cda031,d2f0467af85ec9881ec1bd6ed68f956aa5938063ff9d0c20d74ec8d8f7fd1831
direct_opt80,12002,uniform,mixed,fixed_hash,20260912T085716219281Z-s12002-G-b5c99f81,0521d11defc65f2550d0dba237bca66090ad6770331906f0ea94802145a0cff9,46f860bff62566d2434e4546ac541f421ef4e86e3418fcd986db2b131f47c59c,16,16,1.0,2803.706225,2189.7062234710693,10948.531117355345,89,445,86,51,32,1,True,,5.39150639998843,175.2316390625,42031339499960150646ef6b04f056525eaa3ab6fe95a86e838e52d2d539ff69,d2f0467af85ec9881ec1bd6ed68f956aa5938063ff9d0c20d74ec8d8f7fd1831
