phase,role,baseline,candidate,pairs,complete,improvement_percent,p95_change_percent,ci_low,ci_high,gate_passed
A_22_dev30,development,H0,H1_22,30,True,1.2655873163345062,4.79516452762474,-2.3998741470289313,4.436297770249692,False
B_rotation_dev30,development,H0,B_rotation,30,True,-1.0907150438939375,6.622256775920166,-4.459047080863418,2.4133309587668035,False
B_shape_dev30,development,E_combo,A22,30,True,-0.016370898837676003,-1.1198836426132064,-2.7710393861287352,2.311912814734568,False
B_shape_dev30,development,E_combo,inner950,30,True,-0.6813859810804477,0.07738428749757276,-2.912072632642095,1.3464233461005553,False
B_shape_dev30,development,E_combo,outer1860,30,True,-1.3058016954712923,-1.4649509555445306,-2.799516396005575,-0.09912458806921583,False
B_shape_dev30,development,E_combo,outerphase,30,True,-2.491381391845226,0.7386324975843905,-5.1238111660334935,-0.4464385737454641,False
C_replacement_dev30,development,H0,C1,30,True,0.35368626996481334,-0.015660137515360883,-0.24877234946042692,1.3567655508101917,False
C_replacement_dev30,development,H0,C2,30,True,0.35368626996481334,-0.015660137515360883,-0.24877234946042692,1.3567655508101917,False
D40_validation100,validation,H0,D40,100,True,0.6691783794637832,-0.8574088137692337,-0.43992231914312646,1.800872797809597,False
D8_validation100,validation,H0,D8,100,True,5.112011475250091,-7.311099907211782,4.122769789657533,6.092926739244977,True
D_progress_dev30,development,H0,cap1,30,True,-10.815748877222818,14.414876991973724,-14.017884583406518,-7.986672524465313,False
D_progress_dev30,development,H0,cap4,30,True,4.477557814183428,-4.739580361112939,2.698472497013671,6.147030230592341,True
D_progress_dev30,development,H0,cap8,30,True,4.5035173168237606,-6.007126891182102,2.84028532405951,6.120125511104961,True
D_spacing_dev30,development,H0,b120,30,True,-1.6927695341114029,3.1083828185059392,-2.813624384493239,-0.454194893738124,False
D_spacing_dev30,development,H0,b160,30,True,-3.6283930816999925,5.9260296183980765,-6.097855950288929,-1.4885109989341223,False
D_spacing_dev30,development,H0,b40,30,True,1.0970584880029306,0.1105470065457359,-1.2007160102642918,3.297662728410039,True
E_COMBO_validation100,validation,D8,E_combo,100,True,10.478609253232731,-10.562799910812458,9.602923181930823,11.389760261518914,True
E_COMBO_validation100,validation,H0,E_combo,100,True,15.242874656230473,-23.24181565751948,13.902842485636787,16.62424628505539,True
E_interaction_dev30,development,E_pair,E_combo,30,True,6.103167954451892,-7.351501711154407,4.502600674365985,7.603634578646455,True
E_interaction_dev30,development,E_shared,E_combo,30,True,3.390024546465295,-4.7607425847845715,2.458978235783385,4.354270346641055,True
E_pair_dev30,development,D8,E_pair,30,True,4.4291477311538445,-0.9960303576034613,2.7488821617184622,6.305195956548069,True
E_shared_dev30,development,D8,E_shared,30,True,7.113108953704738,-3.689199591164738,6.0020135341915655,8.191278266433317,True
