seed,variant,run_id,all_success,engine_source_count,total_time,mean_time_per_source,policy_wall_time_s
1201,D_COMPACT,20260912T125942374243Z-875d27b7,True,12,5930.224151,494.1853459166667,4.272192599994014
1201,R2_C3,20260912T125948979006Z-948fccb3,True,12,6565.178084,547.0981736666666,5.787394499988295
1202,D_COMPACT,20260912T125957620370Z-1eabe386,True,15,5819.537628,387.9691752,3.8096479999949224
1202,R2_C3,20260912T130003460550Z-5aa16dab,True,15,6121.726444,408.1150962666667,6.213854100002209
1203,D_COMPACT,20260912T130013352577Z-8a7d0cea,True,15,5992.96694,399.53112933333335,4.319271000000299
1203,R2_C3,20260912T130020032314Z-a1c5f5b9,True,15,6135.454075,409.03027166666664,6.010597400003462
1204,D_COMPACT,20260912T130029613489Z-0f2d2ef7,True,15,6478.036045,431.86906966666663,3.8054205999942496
1204,R2_C3,20260912T130035668128Z-d5d01e2e,True,15,6425.864645,428.3909763333333,5.113684999989346
1205,D_COMPACT,20260912T130043727612Z-c6e204ab,True,15,5724.673759,381.6449172666667,3.2812711000005947
1205,R2_C3,20260912T130048988728Z-86adf4e0,True,15,5981.47327,398.7648846666667,5.611508400004823
1206,D_COMPACT,20260912T130058319456Z-8211ef3c,True,14,5941.357061,424.38264721428567,5.147146699993755
1206,R2_C3,20260912T130105678791Z-a19023da,True,14,5990.238824,427.87420171428573,6.6975913000060245
1207,D_COMPACT,20260912T130115168422Z-abec7690,True,16,3802.621525,237.6638453125,3.8393674999970244
1207,R2_C3,20260912T130121520160Z-211d826b,True,16,3999.441915,249.9651196875,4.314513299992541
1208,D_COMPACT,20260912T130128654480Z-c05900fb,True,13,5671.406198,436.2620152307692,4.779455399999279
1208,R2_C3,20260912T130135528812Z-ce8be116,True,13,5827.720598,448.28619984615386,6.43019820000336
1209,D_COMPACT,20260912T130144812251Z-3e055e3a,True,12,5932.096721,494.3413934166667,6.166071699990425
1209,R2_C3,20260912T130152674290Z-79953b7f,True,12,6074.096721,506.17472675,6.705848300000071
1210,D_COMPACT,20260912T130201418962Z-a8d35909,True,15,6076.752226,405.1168150666666,6.370415299999877
1210,R2_C3,20260912T130210132772Z-8668cf04,True,15,5782.36804,385.4912026666667,6.737848899996607
