variant,label,registered_n,complete,mean_per_source,mean_total,p95,worst,mean_wall,mean_move_time,mean_RF_detection_time,mean_channel_switch_time,mean_optical_time,mean_clear_time
compact,D,30,30,464.5020347096799,6094.880277533333,6573.70782985,7297.065566,5.152120583334181,4455.246943487313,1316.8333333333333,243.96666666666667,51.9,26.933333333333334
stable,L,30,30,460.0515345394877,6031.268554533333,6549.12696055,7170.856673,5.191431806667242,4405.568554587604,1305.1666666666667,241.3,52.3,26.933333333333334
single,M,30,30,457.0160001672876,5988.495430033333,6437.14158735,6666.875288,10.803129853335365,4343.828763131452,1320.3333333333333,246.7,50.7,26.933333333333334
single_stable,M+L,30,30,444.16368695539074,5806.9785877,6338.3804273999995,6440.502324,11.875305336668195,4192.878588016311,1293.1666666666667,241.9,52.1,26.933333333333334
