variant,seed,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_time,RF_detection_count,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s
rotate_only,301,20260911T134843532834Z-s301-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,fd0cbaade12cbc7458cf8333198fb00abeb81455e4f37eda4c08c982553bd23f,12,12,1.0,3097.486329,2335.486329282105,11677.431646410525,595,119,104,39,24,1,True,,2.0944838000000345
rotate_only,302,20260911T134845844580Z-s302-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,fd0cbaade12cbc7458cf8333198fb00abeb81455e4f37eda4c08c982553bd23f,10,10,1.0,3074.777752,2295.777749074271,11478.888745371354,620,124,109,30,20,0,True,,1.9298436999997648
rotate_only,303,20260911T134847988429Z-s303-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,fd0cbaade12cbc7458cf8333198fb00abeb81455e4f37eda4c08c982553bd23f,16,16,1.0,3009.939952,2288.939952574663,11444.699762873315,545,109,96,48,32,0,True,,1.8922088999997868
rotate_only,304,20260911T134850040640Z-s304-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,fd0cbaade12cbc7458cf8333198fb00abeb81455e4f37eda4c08c982553bd23f,15,15,1.0,2976.721297,2288.721295690514,11443.606478452572,515,103,95,48,30,1,True,,1.6442009000002145
rotate_only,305,20260911T134851871429Z-s305-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,fd0cbaade12cbc7458cf8333198fb00abeb81455e4f37eda4c08c982553bd23f,11,11,1.0,2974.455235,2188.4552360338016,10942.276180169009,620,124,111,33,22,0,True,,2.041694000000007
rotate_only,306,20260911T134854109190Z-s306-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,fd0cbaade12cbc7458cf8333198fb00abeb81455e4f37eda4c08c982553bd23f,15,15,1.0,3237.351516,2483.3515179564392,12416.757589782195,580,116,99,45,30,0,True,,2.210521400000289
rotate_only,307,20260911T134856497973Z-s307-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,fd0cbaade12cbc7458cf8333198fb00abeb81455e4f37eda4c08c982553bd23f,15,15,1.0,3299.933268,2640.9332653282268,13204.666326641134,495,99,89,45,30,0,True,,1.7078268000000207
rotate_only,308,20260911T134858404670Z-s308-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,fd0cbaade12cbc7458cf8333198fb00abeb81455e4f37eda4c08c982553bd23f,13,13,1.0,3292.389429,2565.389430207221,12826.947151036104,560,112,99,42,26,1,True,,1.8714607000001706
centroid_only,301,20260911T134900477081Z-s301-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,0e089237582d2f4711ab3a4a5061ac4b56f83accddec16ef834e4ca9f84b2a3c,12,12,1.0,3285.504404,2557.5044041902274,12787.522020951137,565,113,100,39,24,1,True,,1.838498399999935
centroid_only,302,20260911T134902518893Z-s302-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,0e089237582d2f4711ab3a4a5061ac4b56f83accddec16ef834e4ca9f84b2a3c,10,10,1.0,3100.146189,2339.146188938778,11695.730944693889,600,120,108,33,20,1,True,,1.5900415999999495
centroid_only,303,20260911T134904305623Z-s303-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,0e089237582d2f4711ab3a4a5061ac4b56f83accddec16ef834e4ca9f84b2a3c,16,16,1.0,3021.71391,2320.7139095978855,11603.569547989428,520,104,98,51,32,1,True,,1.4099688000001152
centroid_only,304,20260911T134905875414Z-s304-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,0e089237582d2f4711ab3a4a5061ac4b56f83accddec16ef834e4ca9f84b2a3c,15,15,1.0,3189.073808,2501.0738089394954,12505.369044697478,515,103,95,48,30,1,True,,1.4917543999999907
centroid_only,305,20260911T134907548463Z-s305-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,0e089237582d2f4711ab3a4a5061ac4b56f83accddec16ef834e4ca9f84b2a3c,11,11,1.0,3079.739769,2323.7397672719535,11618.698836359768,595,119,106,33,22,0,True,,1.7141265999998723
centroid_only,306,20260911T134909467148Z-s306-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,0e089237582d2f4711ab3a4a5061ac4b56f83accddec16ef834e4ca9f84b2a3c,15,15,1.0,3065.900907,2416.900907358599,12084.504536792994,480,96,91,48,30,1,True,,1.429612299999917
centroid_only,307,20260911T134911071465Z-s307-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,0e089237582d2f4711ab3a4a5061ac4b56f83accddec16ef834e4ca9f84b2a3c,15,15,1.0,3223.099685,2550.0996874526095,12750.498437263048,500,100,95,48,30,1,True,,1.5909842999999455
centroid_only,308,20260911T134912842606Z-s308-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,0e089237582d2f4711ab3a4a5061ac4b56f83accddec16ef834e4ca9f84b2a3c,13,13,1.0,3332.670697,2681.6706961085442,13408.35348054272,495,99,91,39,26,0,True,,1.5539730999998937
area_only,301,20260911T134914582319Z-s301-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,e0da746d0191958e77c0714daa1eca553dcea15ee41b419575b146326933b128,12,12,1.0,3288.368507,2474.368508546687,12371.842542733435,650,130,98,42,24,2,True,,6.393161799999689
area_only,302,20260911T134921188548Z-s302-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,e0da746d0191958e77c0714daa1eca553dcea15ee41b419575b146326933b128,10,10,1.0,3066.994555,2278.994555656365,11394.972778281825,625,125,113,30,20,0,True,,3.364078200000222
area_only,303,20260911T134924759686Z-s303-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,e0da746d0191958e77c0714daa1eca553dcea15ee41b419575b146326933b128,16,16,1.0,3073.213823,2290.213825798512,11451.06912899256,605,121,95,51,32,1,True,,5.204364400000031
area_only,304,20260911T134930160672Z-s304-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,e0da746d0191958e77c0714daa1eca553dcea15ee41b419575b146326933b128,15,15,1.0,2992.021501,2260.0215001277747,11300.107500638873,555,111,99,48,30,1,True,,3.567131099999642
area_only,305,20260911T134933937624Z-s305-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,e0da746d0191958e77c0714daa1eca553dcea15ee41b419575b146326933b128,11,11,1.0,3226.963369,2325.963373538308,11629.816867691541,730,146,110,39,22,2,True,,8.172701299999972
area_only,306,20260911T134942337837Z-s306-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,e0da746d0191958e77c0714daa1eca553dcea15ee41b419575b146326933b128,15,15,1.0,2936.927901,2146.927898992645,10734.639494963227,615,123,100,45,30,0,True,,4.8125145999997585
area_only,307,20260911T134947341063Z-s307-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,e0da746d0191958e77c0714daa1eca553dcea15ee41b419575b146326933b128,15,15,1.0,3351.938395,2660.938397258965,13304.691986294825,525,105,88,48,30,1,True,,4.184902599999987
area_only,308,20260911T134951719154Z-s308-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,e0da746d0191958e77c0714daa1eca553dcea15ee41b419575b146326933b128,13,13,1.0,3347.243495,2606.24349527463,13031.21747637315,580,116,96,39,26,0,True,,4.639944499999729
replan_rotate,301,20260911T134956533477Z-s301-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,33a95b7c40935a7e5301719b9eb98ce70052cdafee562762f4a9e43b4d3113ec,12,12,1.0,3108.621091,2366.6210921366155,11833.105460683077,570,114,106,42,24,2,True,,1.945053899999948
replan_rotate,302,20260911T134958655643Z-s302-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,33a95b7c40935a7e5301719b9eb98ce70052cdafee562762f4a9e43b4d3113ec,10,10,1.0,3092.362944,2291.3629419700032,11456.814709850016,635,127,116,30,20,0,True,,1.9354619999999159
replan_rotate,303,20260911T135000783577Z-s303-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,33a95b7c40935a7e5301719b9eb98ce70052cdafee562762f4a9e43b4d3113ec,16,16,1.0,3615.237873,2732.237871470374,13661.18935735187,680,136,123,48,32,0,True,,2.1794770000001336
replan_rotate,304,20260911T135003116191Z-s304-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,33a95b7c40935a7e5301719b9eb98ce70052cdafee562762f4a9e43b4d3113ec,15,15,1.0,2939.43078,2258.430779637139,11292.153898185696,505,101,98,48,30,1,True,,1.420005200000105
replan_rotate,305,20260911T135004719517Z-s305-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,33a95b7c40935a7e5301719b9eb98ce70052cdafee562762f4a9e43b4d3113ec,11,11,1.0,3010.596826,2189.596827482538,10947.984137412692,645,129,121,33,22,0,True,,2.017567500000041
replan_rotate,306,20260911T135006927187Z-s306-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,33a95b7c40935a7e5301719b9eb98ce70052cdafee562762f4a9e43b4d3113ec,15,15,1.0,3259.596266,2482.596266495497,12412.981332477484,595,119,107,45,30,0,True,,2.2705690000002505
replan_rotate,307,20260911T135009380539Z-s307-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,33a95b7c40935a7e5301719b9eb98ce70052cdafee562762f4a9e43b4d3113ec,15,15,1.0,3072.747749,2381.7477489867656,11908.738744933828,515,103,98,48,30,1,True,,1.6005874999996195
replan_rotate,308,20260911T135011163373Z-s308-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,33a95b7c40935a7e5301719b9eb98ce70052cdafee562762f4a9e43b4d3113ec,13,13,1.0,3199.636447,2506.6364503468467,12533.182251734233,525,105,100,42,26,1,True,,1.592363700000078
replan_area_rotate,301,20260911T135012958308Z-s301-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,d236e3c7c494424e0ffd038dc6141a5c8871a27d7ad42a7e57cab68c3edb76c0,12,12,1.0,3114.632669,2362.6326696822443,11813.163348411223,580,116,109,39,24,1,True,,3.5351246999998693
replan_area_rotate,302,20260911T135016668047Z-s302-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,d236e3c7c494424e0ffd038dc6141a5c8871a27d7ad42a7e57cab68c3edb76c0,10,10,1.0,3080.135647,2291.135649144964,11455.678245724821,620,124,116,33,20,1,True,,2.934831000000031
replan_area_rotate,303,20260911T135019781498Z-s303-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,d236e3c7c494424e0ffd038dc6141a5c8871a27d7ad42a7e57cab68c3edb76c0,16,16,1.0,3175.314221,2293.314222355307,11466.571111776535,685,137,114,51,32,1,True,,4.875261199999841
replan_area_rotate,304,20260911T135024825557Z-s304-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,d236e3c7c494424e0ffd038dc6141a5c8871a27d7ad42a7e57cab68c3edb76c0,15,15,1.0,2937.951438,2251.9514371925206,11259.757185962604,510,102,98,48,30,1,True,,2.2297481000000516
replan_area_rotate,305,20260911T135027251501Z-s305-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,d236e3c7c494424e0ffd038dc6141a5c8871a27d7ad42a7e57cab68c3edb76c0,11,11,1.0,3055.393669,2181.393667438773,10906.968337193864,700,140,119,33,22,0,True,,5.482675800000379
replan_area_rotate,306,20260911T135032923411Z-s306-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,d236e3c7c494424e0ffd038dc6141a5c8871a27d7ad42a7e57cab68c3edb76c0,15,15,1.0,3283.11923,2487.1192294169896,12435.596147084947,615,123,106,45,30,0,True,,5.03801650000014
replan_area_rotate,307,20260911T135038163431Z-s307-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,d236e3c7c494424e0ffd038dc6141a5c8871a27d7ad42a7e57cab68c3edb76c0,15,15,1.0,3169.36703,2433.3670292678084,12166.835146339043,560,112,98,48,30,1,True,,3.7218126999996457
replan_area_rotate,308,20260911T135042091577Z-s308-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,d236e3c7c494424e0ffd038dc6141a5c8871a27d7ad42a7e57cab68c3edb76c0,13,13,1.0,3313.963008,2476.963007252231,12384.815036261154,650,130,122,39,26,0,True,,4.858636599999954
