variant,seed,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_time,RF_detection_count,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s
frozen_D,501,20260911T140408281635Z-s501-D-4f681cdf,fab60d8c86239129aaeb827d609867ef76877ca7db30815676ecfd4c1dd24dde,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,12,12,1.0,2867.766724,2159.766724376197,10798.833621880985,550,110,98,36,24,0,True,,4.02158240000017
frozen_D,502,20260911T140408282142Z-s502-D-63e91da9,fab60d8c86239129aaeb827d609867ef76877ca7db30815676ecfd4c1dd24dde,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,11,11,1.0,3245.518184,2496.5181847005024,12482.590923502512,590,118,104,33,22,0,True,,4.007298300000002
frozen_D,503,20260911T140408283372Z-s503-D-dbf05209,fab60d8c86239129aaeb827d609867ef76877ca7db30815676ecfd4c1dd24dde,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,16,16,1.0,3113.681827,2395.6818273771905,11978.409136885952,535,107,91,60,32,4,True,,4.303196299999854
frozen_D,504,20260911T140408285380Z-s504-D-ef4ac828,fab60d8c86239129aaeb827d609867ef76877ca7db30815676ecfd4c1dd24dde,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,15,15,1.0,3501.410369,2747.4103720159706,13737.051860079853,575,115,101,48,30,1,True,,4.339334000000235
frozen_D,505,20260911T140412629381Z-s505-D-bfc9387f,fab60d8c86239129aaeb827d609867ef76877ca7db30815676ecfd4c1dd24dde,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,10,10,1.0,2927.594784,2203.5947816048,11017.973908024002,570,114,104,30,20,0,True,,4.631660000000011
frozen_D,506,20260911T140412632002Z-s506-D-a47177d8,fab60d8c86239129aaeb827d609867ef76877ca7db30815676ecfd4c1dd24dde,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,14,14,1.0,3069.451168,2277.4511689758438,11387.255844879219,610,122,112,42,28,0,True,,5.6457188999997925
frozen_D,507,20260911T140412894676Z-s507-D-b34b4a09,fab60d8c86239129aaeb827d609867ef76877ca7db30815676ecfd4c1dd24dde,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,13,13,1.0,3297.184991,2493.184990260407,12465.924951302037,630,126,109,39,26,0,True,,5.932084199999736
frozen_D,508,20260911T140412896674Z-s508-D-6a8aa46a,fab60d8c86239129aaeb827d609867ef76877ca7db30815676ecfd4c1dd24dde,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,14,14,1.0,3261.17688,2487.176882507011,12435.884412535055,600,120,104,42,28,0,True,,6.368007999999918
frozen_D,509,20260911T140417687809Z-s509-D-4a215987,fab60d8c86239129aaeb827d609867ef76877ca7db30815676ecfd4c1dd24dde,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,14,14,1.0,2886.619074,2195.619072665969,10978.095363329845,520,104,101,42,28,0,True,,4.334341499999937
frozen_D,510,20260911T140418631792Z-s510-D-e4ee7f3e,fab60d8c86239129aaeb827d609867ef76877ca7db30815676ecfd4c1dd24dde,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,10,10,1.0,2912.450944,2166.4509434404745,10832.254717202373,585,117,108,33,20,1,True,,4.479780099999971
