variant,seed,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_time,RF_detection_count,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s
early08,101,20260911T125008750529Z-s101-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,d6202ccbbfa2c5066ae777c9268de2aba8804516e1aa398ed709667ff8e45d09,16,16,1.0,2963.414112,2149.414113161163,10747.070565805816,615,123,119,48,32,0,True,,1.2531997999994928
early08,102,20260911T125010126394Z-s102-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,d6202ccbbfa2c5066ae777c9268de2aba8804516e1aa398ed709667ff8e45d09,10,10,1.0,3072.028266,2259.028266331283,11295.141331656414,640,128,123,30,20,0,True,,1.1122715000001335
early08,103,20260911T125011357030Z-s103-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,d6202ccbbfa2c5066ae777c9268de2aba8804516e1aa398ed709667ff8e45d09,11,11,1.0,3250.890277,2457.8902765712887,12289.451382856443,620,124,118,33,22,0,True,,1.0806566999999632
early08,104,20260911T125012590452Z-s104-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,d6202ccbbfa2c5066ae777c9268de2aba8804516e1aa398ed709667ff8e45d09,10,10,1.0,3009.123582,2072.123581924682,10360.61790962341,745,149,142,30,20,0,True,,1.3274144000006345
joint_optical,101,20260911T125014120977Z-s101-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,60f9608b5bb1ed2df71c9b7a72c5b6973e7910263735f7ad70d9fde4d752cc01,16,16,1.0,3320.036078,2527.0360790065574,12635.180395032787,600,120,113,48,32,0,True,,1.335747999999512
joint_optical,102,20260911T125015658562Z-s102-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,60f9608b5bb1ed2df71c9b7a72c5b6973e7910263735f7ad70d9fde4d752cc01,10,10,1.0,3349.077302,2580.0773018299433,12900.386509149717,605,121,114,30,20,0,True,,1.1261785999995482
joint_optical,103,20260911T125016960410Z-s103-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,60f9608b5bb1ed2df71c9b7a72c5b6973e7910263735f7ad70d9fde4d752cc01,11,11,1.0,3788.625235,3047.625233541302,15238.12616770651,575,115,111,33,22,0,True,,1.0444017999998323
joint_optical,104,20260911T125018181621Z-s104-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,60f9608b5bb1ed2df71c9b7a72c5b6973e7910263735f7ad70d9fde4d752cc01,10,10,1.0,2787.560915,1941.5609151537615,9707.804575768807,670,134,126,30,20,0,True,,1.1469661999999516
adaptive120,101,20260911T125019488327Z-s101-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,45061e61cc7f4f7c42a1c6b442bea2eba13f55b1614b4a698ff492eafca5b906,16,16,1.0,3353.807941,2629.8079418309308,13149.039709154653,540,108,101,51,32,1,True,,1.3152810999999929
adaptive120,102,20260911T125020968338Z-s102-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,45061e61cc7f4f7c42a1c6b442bea2eba13f55b1614b4a698ff492eafca5b906,10,10,1.0,3603.334767,2606.3347654024083,13031.673827012042,795,159,149,33,20,1,True,,1.4596885999999358
adaptive120,103,20260911T125022588876Z-s103-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,45061e61cc7f4f7c42a1c6b442bea2eba13f55b1614b4a698ff492eafca5b906,11,11,1.0,3786.777199,2614.7772008635375,13073.886004317686,935,187,182,33,22,0,True,,1.744365900000048
adaptive120,104,20260911T125024546122Z-s104-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,45061e61cc7f4f7c42a1c6b442bea2eba13f55b1614b4a698ff492eafca5b906,10,10,1.0,3285.538513,2277.538512635236,11387.69256317618,805,161,153,30,20,0,True,,1.5761774000002333
adaptive1000,101,20260911T125026329156Z-s101-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,a3a210548ce2cbeb40a4a00ec64b2ecc696a8169e872d91d2670fecabce08853,16,16,1.0,2602.267954,1914.2679531423375,9571.339765711688,510,102,95,51,32,1,True,,1.542106099999728
adaptive1000,102,20260911T125028061934Z-s102-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,a3a210548ce2cbeb40a4a00ec64b2ecc696a8169e872d91d2670fecabce08853,10,10,1.0,3397.170824,2277.1708239602094,11385.854119801048,900,180,170,30,20,0,True,,1.8380677000004653
adaptive1000,103,20260911T125030105132Z-s103-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,a3a210548ce2cbeb40a4a00ec64b2ecc696a8169e872d91d2670fecabce08853,11,11,1.0,3715.42472,2667.4247228845625,13337.123614422813,835,167,158,33,22,0,True,,1.6761480000004667
adaptive1000,104,20260911T125031969732Z-s104-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,a3a210548ce2cbeb40a4a00ec64b2ecc696a8169e872d91d2670fecabce08853,10,10,1.0,3047.551173,2098.5511719204032,10492.755859602015,755,151,144,30,20,0,True,,1.5075541000005614
adaptive03,101,20260911T125033658550Z-s101-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,46a0255ad9bf9dbb7ab884c74946386de14a6b73b3c86a82e6858b5598c4afb8,16,16,1.0,2760.437503,1997.4375016116094,9987.187508058047,575,115,108,48,32,0,True,,1.5730317999987165
adaptive03,102,20260911T125035388236Z-s102-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,46a0255ad9bf9dbb7ab884c74946386de14a6b73b3c86a82e6858b5598c4afb8,10,10,1.0,3537.511021,2304.511020642715,11522.555103213574,995,199,188,30,20,0,True,,1.966867099999945
adaptive03,103,20260911T125037575235Z-s103-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,46a0255ad9bf9dbb7ab884c74946386de14a6b73b3c86a82e6858b5598c4afb8,11,11,1.0,3548.153358,2404.153358056384,12020.766790281921,915,183,174,33,22,0,True,,1.7946499999998196
adaptive03,104,20260911T125039587285Z-s104-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,46a0255ad9bf9dbb7ab884c74946386de14a6b73b3c86a82e6858b5598c4afb8,10,10,1.0,3080.552376,2067.5523740380045,10337.761870190023,810,162,153,30,20,0,True,,1.5940436999990197
adaptive_without_future,101,20260911T125041370308Z-s101-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,c879a84867f032321509971e40656406f86eb7063b42c9d23d56c04249ff57a2,16,16,1.0,2657.330797,2043.3307992209316,10216.653996104658,450,90,81,51,32,1,True,,1.1532516999996005
adaptive_without_future,102,20260911T125042704568Z-s102-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,c879a84867f032321509971e40656406f86eb7063b42c9d23d56c04249ff57a2,10,10,1.0,3370.685134,2267.6851346052576,11338.425673026288,885,177,168,30,20,0,True,,1.6562463999998727
adaptive_without_future,103,20260911T125044552527Z-s103-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,c879a84867f032321509971e40656406f86eb7063b42c9d23d56c04249ff57a2,11,11,1.0,3540.060855,2534.0608582699197,12670.304291349597,800,160,151,33,22,0,True,,1.5277645000005577
adaptive_without_future,104,20260911T125046250474Z-s104-D,c37c159d343055949f73d6a2973be7c396d5cf4d7fbf167ef88bd0882045bcf7,c879a84867f032321509971e40656406f86eb7063b42c9d23d56c04249ff57a2,10,10,1.0,3453.83623,2309.8362323075794,11549.181161537897,920,184,171,33,20,1,True,,1.755139799999597
