variant,seed,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_time,RF_detection_count,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s
compact1130,101,20260911T124451202321Z-s101-D,0f07bf16d5a4ec3025a2695ccb14de5a2413ecce70f98bef17dc4c276bf50a42,712d197ba2b3e23755039b5c84dfb240f0518e415d92f4910cb9e5bb65bd2515,16,16,1.0,3445.106744,2836.1067433903195,14180.533716951597,445,89,84,48,32,0,True,,0.8651165999999648
compact1130,102,20260911T124452168530Z-s102-D,0f07bf16d5a4ec3025a2695ccb14de5a2413ecce70f98bef17dc4c276bf50a42,712d197ba2b3e23755039b5c84dfb240f0518e415d92f4910cb9e5bb65bd2515,10,10,1.0,3645.61995,2927.61995143466,14638.0997571733,560,112,108,30,20,0,True,,0.8311271000002307
compact1130,103,20260911T124453089029Z-s103-D,0f07bf16d5a4ec3025a2695ccb14de5a2413ecce70f98bef17dc4c276bf50a42,712d197ba2b3e23755039b5c84dfb240f0518e415d92f4910cb9e5bb65bd2515,11,11,1.0,3839.11648,3105.11648149443,15525.58240747215,570,114,109,33,22,0,True,,0.9021072000014101
compact1130,104,20260911T124454129853Z-s104-D,0f07bf16d5a4ec3025a2695ccb14de5a2413ecce70f98bef17dc4c276bf50a42,712d197ba2b3e23755039b5c84dfb240f0518e415d92f4910cb9e5bb65bd2515,10,10,1.0,3606.897087,2840.8970881145506,14204.485440572753,600,120,116,30,20,0,True,,1.125013000000763
joint1130,101,20260911T124455407875Z-s101-D,0f07bf16d5a4ec3025a2695ccb14de5a2413ecce70f98bef17dc4c276bf50a42,01abc56565d14743de7c075a1512a15295f129104f6b16e2ca7260209ac32fff,16,16,1.0,3311.67573,2497.6757294258505,12488.378647129253,615,123,119,48,32,0,True,,1.3351481999998214
joint1130,102,20260911T124456885304Z-s102-D,0f07bf16d5a4ec3025a2695ccb14de5a2413ecce70f98bef17dc4c276bf50a42,01abc56565d14743de7c075a1512a15295f129104f6b16e2ca7260209ac32fff,10,10,1.0,3349.077302,2580.0773018299433,12900.386509149717,605,121,114,30,20,0,True,,1.185971499999141
joint1130,103,20260911T124458224084Z-s103-D,0f07bf16d5a4ec3025a2695ccb14de5a2413ecce70f98bef17dc4c276bf50a42,01abc56565d14743de7c075a1512a15295f129104f6b16e2ca7260209ac32fff,11,11,1.0,3822.564003,3046.564001190459,15232.820005952293,605,121,116,33,22,0,True,,1.177817199999481
joint1130,104,20260911T124459554358Z-s104-D,0f07bf16d5a4ec3025a2695ccb14de5a2413ecce70f98bef17dc4c276bf50a42,01abc56565d14743de7c075a1512a15295f129104f6b16e2ca7260209ac32fff,10,10,1.0,2825.217822,1942.2178208782236,9711.089104391118,700,140,133,30,20,0,True,,1.2884181000008539
joint1300,101,20260911T124501003894Z-s101-D,0f07bf16d5a4ec3025a2695ccb14de5a2413ecce70f98bef17dc4c276bf50a42,bb5ec446c81c2cda0ecd2e0bb1cd0b1a827416919b8403478d40b255957b6f18,16,16,1.0,3246.857813,2558.857811712644,12794.28905856322,510,102,98,48,32,0,True,,1.2124583999993774
joint1300,102,20260911T124502350996Z-s102-D,0f07bf16d5a4ec3025a2695ccb14de5a2413ecce70f98bef17dc4c276bf50a42,bb5ec446c81c2cda0ecd2e0bb1cd0b1a827416919b8403478d40b255957b6f18,10,10,1.0,3602.728814,2780.7288149402875,13903.644074701439,650,130,122,30,20,0,True,,1.257972700001119
joint1300,103,20260911T124503758172Z-s103-D,0f07bf16d5a4ec3025a2695ccb14de5a2413ecce70f98bef17dc4c276bf50a42,bb5ec446c81c2cda0ecd2e0bb1cd0b1a827416919b8403478d40b255957b6f18,11,11,1.0,3983.626808,3201.626806715662,16008.13403357831,610,122,117,33,22,0,True,,1.256554399999004
joint1300,104,20260911T124505174985Z-s104-D,0f07bf16d5a4ec3025a2695ccb14de5a2413ecce70f98bef17dc4c276bf50a42,bb5ec446c81c2cda0ecd2e0bb1cd0b1a827416919b8403478d40b255957b6f18,10,10,1.0,3156.303083,2257.303082487896,11286.51541243948,715,143,134,30,20,0,True,,1.3883370000003197
pruned_dynamic,101,20260911T124506740649Z-s101-D,0f07bf16d5a4ec3025a2695ccb14de5a2413ecce70f98bef17dc4c276bf50a42,267c8bd883ca9476e0fb91c92e5ca62049a11096174fb5f51b8dbc4c38774235,16,16,1.0,2683.721585,2061.7215872685692,10308.607936342845,460,92,82,48,32,0,True,,1.0829064999998081
pruned_dynamic,102,20260911T124507957585Z-s102-D,0f07bf16d5a4ec3025a2695ccb14de5a2413ecce70f98bef17dc4c276bf50a42,267c8bd883ca9476e0fb91c92e5ca62049a11096174fb5f51b8dbc4c38774235,10,10,1.0,4006.073641,3082.0736421645856,15410.368210822928,740,148,134,30,20,0,True,,1.3035101999994367
pruned_dynamic,103,20260911T124509452496Z-s103-D,0f07bf16d5a4ec3025a2695ccb14de5a2413ecce70f98bef17dc4c276bf50a42,267c8bd883ca9476e0fb91c92e5ca62049a11096174fb5f51b8dbc4c38774235,11,11,1.0,3906.214311,2920.214313835065,14601.071569175323,785,157,146,33,22,0,True,,1.3450222999999824
pruned_dynamic,104,20260911T124510977941Z-s104-D,0f07bf16d5a4ec3025a2695ccb14de5a2413ecce70f98bef17dc4c276bf50a42,267c8bd883ca9476e0fb91c92e5ca62049a11096174fb5f51b8dbc4c38774235,10,10,1.0,4006.171773,3048.1717737684794,15240.858868842397,765,153,143,30,20,0,True,,1.3212272000000667
