variant,seed,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_time,RF_detection_count,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s,average_localization_clear_time_s_per_source
frozen_E,7001,20260912T033012113666Z-s7001-E-ce79ee6f,c2253c92ab69896fdb1b34d1cc4ab32acc70d7f2fe636e9d82b7e19dc7f68b44,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,16,16,1.0,3226.174403,2432.174404113277,12160.872020566385,595,119,110,57,32,3,True,,10.133505499994499,201.6359001875
frozen_E,7002,20260912T033012113666Z-s7002-E-b48660a3,c2253c92ab69896fdb1b34d1cc4ab32acc70d7f2fe636e9d82b7e19dc7f68b44,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,11,11,1.0,2942.492364,2189.4923657609934,10947.461828804968,585,117,113,33,22,0,True,,8.575229499998386,267.4993058181818
frozen_E,7003,20260912T033012114669Z-s7003-E-bc3b53cb,c2253c92ab69896fdb1b34d1cc4ab32acc70d7f2fe636e9d82b7e19dc7f68b44,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,11,11,1.0,2730.161413,2012.1614149282736,10060.807074641369,555,111,105,36,22,1,True,,9.76477259999956,248.19649209090906
frozen_E,7004,20260912T033012115677Z-s7004-E-e6af8cb6,c2253c92ab69896fdb1b34d1cc4ab32acc70d7f2fe636e9d82b7e19dc7f68b44,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,14,14,1.0,3079.249596,2367.249597906545,11836.247989532727,540,108,99,45,28,1,True,,9.29232829999819,219.94639971428572
frozen_E,7005,20260912T033021295145Z-s7005-E-d5a96b03,c2253c92ab69896fdb1b34d1cc4ab32acc70d7f2fe636e9d82b7e19dc7f68b44,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,15,15,1.0,3363.411293,2626.4112939526312,13132.056469763156,560,112,102,45,30,0,True,,11.34418100000039,224.22741953333335
frozen_E,7006,20260912T033021909514Z-s7006-E-ef532561,c2253c92ab69896fdb1b34d1cc4ab32acc70d7f2fe636e9d82b7e19dc7f68b44,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,14,14,1.0,2983.147597,2335.1475969208286,11675.737984604144,485,97,93,42,28,0,True,,8.525205100006133,213.08197121428572
frozen_E,7007,20260912T033022407109Z-s7007-E-16d7f083,c2253c92ab69896fdb1b34d1cc4ab32acc70d7f2fe636e9d82b7e19dc7f68b44,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,12,12,1.0,3119.120171,2367.1201723747313,11835.600861873656,580,116,109,39,24,1,True,,12.434538900000916,259.92668091666667
frozen_E,7008,20260912T033022728836Z-s7008-E-6cda6b43,c2253c92ab69896fdb1b34d1cc4ab32acc70d7f2fe636e9d82b7e19dc7f68b44,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,12,12,1.0,3118.621128,2394.621129398826,11973.105646994129,560,112,104,36,24,0,True,,11.563916200000676,259.88509400000004
negative_only,7001,20260912T033030959731Z-s7001-F-18cdc30d,c2253c92ab69896fdb1b34d1cc4ab32acc70d7f2fe636e9d82b7e19dc7f68b44,d28a31eaec0448f55baf693554e5d5e75321013ec57455698f2e8e98b8643976,16,16,1.0,3226.174403,2432.174404113277,12160.872020566385,595,119,110,57,32,3,True,,12.585313899995526,201.6359001875
negative_only,7002,20260912T033033343987Z-s7002-F-c6be8cbf,c2253c92ab69896fdb1b34d1cc4ab32acc70d7f2fe636e9d82b7e19dc7f68b44,d28a31eaec0448f55baf693554e5d5e75321013ec57455698f2e8e98b8643976,11,11,1.0,2942.492364,2189.4923657609934,10947.461828804968,585,117,113,33,22,0,True,,9.562129899997672,267.4993058181818
