variant,seed,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_time,RF_detection_count,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s
frozen_D,901,20260911T132642581742Z-s901-D,15771113f5ed5238d8e3deb7098be913353ec96ffe8743e0e793c39d8641771b,302e9931f60106a2186c6d0499bc63a4ae6a0674f26fde17c40be477dfd8ca23,14,14,1.0,4045.572679,3134.5726748628776,15672.863374314387,720,144,118,45,28,1,True,,2.0809297999999217
frozen_D,902,20260911T132644811998Z-s902-D,15771113f5ed5238d8e3deb7098be913353ec96ffe8743e0e793c39d8641771b,302e9931f60106a2186c6d0499bc63a4ae6a0674f26fde17c40be477dfd8ca23,14,14,1.0,3914.978792,3092.978790586959,15464.893952934795,640,128,109,45,28,1,True,,1.710845500000005
frozen_D,903,20260911T132646652957Z-s903-D,15771113f5ed5238d8e3deb7098be913353ec96ffe8743e0e793c39d8641771b,302e9931f60106a2186c6d0499bc63a4ae6a0674f26fde17c40be477dfd8ca23,16,16,1.0,2379.894272,1624.8942684905,8124.471342452501,575,115,100,48,32,0,True,,1.5646489000000656
frozen_D,904,20260911T132648324523Z-s904-D,15771113f5ed5238d8e3deb7098be913353ec96ffe8743e0e793c39d8641771b,302e9931f60106a2186c6d0499bc63a4ae6a0674f26fde17c40be477dfd8ca23,11,11,1.0,3202.839209,2395.8392080659405,11979.196040329702,640,128,112,33,22,0,True,,1.7293563000000631
