variant,seed,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_time,RF_detection_count,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s
frozen_D,301,20260911T135346116189Z-s301-D,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,12,12,1.0,2957.036614,2215.0366116332852,11075.183058166427,575,115,104,39,24,1,True,,1.663341699999819
frozen_D,302,20260911T135347963503Z-s302-D,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,10,10,1.0,3088.547736,2275.5477372976547,11377.738686488274,650,130,113,30,20,0,True,,1.8679904000000533
frozen_D,303,20260911T135350005101Z-s303-D,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,16,16,1.0,3009.939952,2288.939952574663,11444.699762873315,545,109,96,48,32,0,True,,1.5795845000002373
frozen_D,304,20260911T135351736205Z-s304-D,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,15,15,1.0,2976.721297,2288.721295690514,11443.606478452572,515,103,95,48,30,1,True,,1.4686687999997048
frozen_D,305,20260911T135353365247Z-s305-D,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,11,11,1.0,3065.039912,2257.039913016116,11285.199565080578,645,129,108,33,22,0,True,,2.0785147000001416
frozen_D,306,20260911T135355605686Z-s306-D,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,15,15,1.0,2890.068999,2162.0689992544903,10810.344996272452,555,111,98,45,30,0,True,,1.6750442000002295
frozen_D,307,20260911T135357432657Z-s307-D,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,15,15,1.0,3299.933268,2640.9332653282268,13204.666326641134,495,99,89,45,30,0,True,,1.591953299999659
frozen_D,308,20260911T135359185442Z-s308-D,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,13,13,1.0,3374.166842,2673.166842298059,13365.834211490293,540,108,96,39,26,0,True,,1.657391799999914
reception_rollout,301,20260911T135400999616Z-s301-E,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,da924503083312f565ffbae20baa3eec638152da631711fe6deff9c94141d51c,12,12,1.0,2878.684238,2152.684239896424,10763.42119948212,560,112,103,39,24,1,True,,2.582025199999862
reception_rollout,302,20260911T135403743553Z-s302-E,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,da924503083312f565ffbae20baa3eec638152da631711fe6deff9c94141d51c,10,10,1.0,3031.050909,2268.050908682818,11340.25454341409,600,120,113,30,20,0,True,,2.384052899999915
reception_rollout,303,20260911T135406303089Z-s303-E,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,da924503083312f565ffbae20baa3eec638152da631711fe6deff9c94141d51c,16,16,1.0,3489.186032,2732.1860315215195,13660.930157607598,575,115,102,48,32,0,True,,2.5135458999998264
reception_rollout,304,20260911T135408958612Z-s304-E,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,da924503083312f565ffbae20baa3eec638152da631711fe6deff9c94141d51c,15,15,1.0,2862.975031,2179.97502871519,10899.875143575951,510,102,95,48,30,1,True,,2.1957005000003846
reception_rollout,305,20260911T135411302238Z-s305-E,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,da924503083312f565ffbae20baa3eec638152da631711fe6deff9c94141d51c,11,11,1.0,2960.786615,2203.7866134662795,11018.933067331398,590,118,109,36,22,1,True,,2.88448389999985
reception_rollout,306,20260911T135414321481Z-s306-E,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,da924503083312f565ffbae20baa3eec638152da631711fe6deff9c94141d51c,15,15,1.0,2831.213547,2126.2135482924373,10631.067741462186,535,107,95,45,30,0,True,,2.359403499999644
reception_rollout,307,20260911T135416842471Z-s307-E,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,da924503083312f565ffbae20baa3eec638152da631711fe6deff9c94141d51c,15,15,1.0,3304.087732,2654.0877305419654,13270.438652709827,485,97,90,45,30,0,True,,2.24099729999989
reception_rollout,308,20260911T135419251054Z-s308-E,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,da924503083312f565ffbae20baa3eec638152da631711fe6deff9c94141d51c,13,13,1.0,3356.801878,2660.801876637626,13304.00938318813,535,107,96,39,26,0,True,,2.5718203999999787
reception_replan,301,20260911T135421985839Z-s301-E,df0ff11925937dfdfc20ffd8c1f8be97ed1e6314753e9d736516bf6d3ae8ee4d,7ca35262b5c35746ef853e214c141d0b614cbbf552e4051b4c883702a9414bdd,12,12,1.0,2840.539771,2117.539770981048,10587.69885490524,555,111,105,39,24,1,True,,2.6119794999999613
