variant,seed,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_time,RF_detection_count,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s,average_localization_clear_time_s_per_source
refined_bend,9003,20260912T051959050549Z-s9003-G-090c1d03,86fcf8d133fe03ed14d00761dbec5aa8194879b7914ee4cb5f9fd61349eae58a,c622d1151bd0a229af4ae28cc1c0f7802b7d706f6ca949d4b2d3c34192034857,15,15,1.0,3320.953148,2610.9531504261113,13054.765752130555,535,107,100,45,30,0,True,,14.070877499994822,221.39687653333334
refined_bend,9004,20260912T052000037370Z-s9004-G-4a8ad444,86fcf8d133fe03ed14d00761dbec5aa8194879b7914ee4cb5f9fd61349eae58a,c622d1151bd0a229af4ae28cc1c0f7802b7d706f6ca949d4b2d3c34192034857,15,15,1.0,3165.21132,2496.2113176258376,12481.056588129188,500,100,94,45,30,0,True,,14.080692899995483,211.014088
refined_bend,9005,20260912T052009655033Z-s9005-G-2157be51,86fcf8d133fe03ed14d00761dbec5aa8194879b7914ee4cb5f9fd61349eae58a,c622d1151bd0a229af4ae28cc1c0f7802b7d706f6ca949d4b2d3c34192034857,16,16,1.0,3070.090655,2402.0906573114876,12010.453286557438,495,99,90,51,32,1,True,,11.56286139999429,191.8806659375
refined_bend,9006,20260912T052010085873Z-s9006-G-d13aed55,86fcf8d133fe03ed14d00761dbec5aa8194879b7914ee4cb5f9fd61349eae58a,c622d1151bd0a229af4ae28cc1c0f7802b7d706f6ca949d4b2d3c34192034857,12,12,1.0,2802.915182,2060.915183852861,10304.575919264305,575,115,107,36,24,0,True,,13.633768100000452,233.57626516666667
refined_bend,9007,20260912T052013324317Z-s9007-G-f6d3d48a,86fcf8d133fe03ed14d00761dbec5aa8194879b7914ee4cb5f9fd61349eae58a,c622d1151bd0a229af4ae28cc1c0f7802b7d706f6ca949d4b2d3c34192034857,10,10,1.0,2550.77993,1837.7799315853222,9188.899657926611,555,111,108,30,20,0,True,,8.807389999994484,255.07799300000002
refined_bend,9008,20260912T052014316558Z-s9008-G-4b8481e3,86fcf8d133fe03ed14d00761dbec5aa8194879b7914ee4cb5f9fd61349eae58a,c622d1151bd0a229af4ae28cc1c0f7802b7d706f6ca949d4b2d3c34192034857,14,14,1.0,3377.022247,2593.0222461852036,12965.111230926017,600,120,114,42,28,0,True,,10.32178720000229,241.21587478571428
refined_bend,9009,20260912T052021412331Z-s9009-G-fa7e1201,86fcf8d133fe03ed14d00761dbec5aa8194879b7914ee4cb5f9fd61349eae58a,c622d1151bd0a229af4ae28cc1c0f7802b7d706f6ca949d4b2d3c34192034857,11,11,1.0,2923.107047,2197.1070484162087,10985.535242081043,565,113,106,33,22,0,True,,11.390914800002065,265.7370042727273
refined_bend,9010,20260912T052022338191Z-s9010-G-079c14ce,86fcf8d133fe03ed14d00761dbec5aa8194879b7914ee4cb5f9fd61349eae58a,c622d1151bd0a229af4ae28cc1c0f7802b7d706f6ca949d4b2d3c34192034857,16,16,1.0,3627.416316,2982.416315087484,14912.08157543742,480,96,85,48,32,0,True,,13.566618899996683,226.71351975
refined_bend,9011,20260912T052023951494Z-s9011-G-1894d7be,86fcf8d133fe03ed14d00761dbec5aa8194879b7914ee4cb5f9fd61349eae58a,c622d1151bd0a229af4ae28cc1c0f7802b7d706f6ca949d4b2d3c34192034857,10,10,1.0,2950.538221,2179.538220895372,10897.69110447686,610,122,111,30,20,0,True,,8.152643399997032,295.0538221
refined_bend,9012,20260912T052024824398Z-s9012-G-c3b99165,86fcf8d133fe03ed14d00761dbec5aa8194879b7914ee4cb5f9fd61349eae58a,c622d1151bd0a229af4ae28cc1c0f7802b7d706f6ca949d4b2d3c34192034857,16,16,1.0,2957.200882,2404.200885674304,12021.00442837152,400,80,73,48,32,0,True,,11.741312300000573,184.825055125
