seed,variant,all_success,total_time,mean_time_per_source,policy_wall_time_s,optical_failed_count
1101,compact,True,6368.073906,578.9158096363636,3.9433318999945186,4
1101,partial,True,6352.146032,577.4678210909091,4.383966900000814,4
1102,compact,True,5957.210524,541.564593090909,4.271880599990254,5
1102,partial,True,5922.763584,538.4330530909091,5.113280499994289,5
1103,compact,True,6459.59346,587.2357690909091,5.365279399993597,2
1103,partial,True,6436.926163,585.1751057272727,5.582472599999164,2
1104,compact,True,5479.12945,342.445590625,5.142275000005611,6
1104,partial,True,5386.762456,336.6726535,8.464330500006326,7
1105,compact,True,5980.522759,543.6838871818182,6.172388899998623,4
1105,partial,True,5980.522759,543.6838871818182,7.500400400007493,4
1106,compact,True,6121.638181,437.25987007142857,6.6714608000038425,4
1106,partial,True,6138.570588,438.46932771428567,8.676165299999411,5
1107,compact,True,5543.80449,395.986035,6.697424400001182,5
1107,partial,True,5532.776988,395.1983562857143,7.986694100007298,5
1108,compact,True,5981.320403,398.7546935333333,7.1673636000050465,2
1108,partial,True,5925.705278,395.04701853333336,8.07362350000767,3
1109,compact,True,7063.087191,706.3087191,6.836406799993711,3
1109,partial,True,7069.19922,706.919922,7.333276000004844,6
1110,compact,True,5614.704356,374.3136237333334,5.175600700007635,4
1110,partial,True,5630.112235,375.34081566666663,6.64631019999797,5
