seed,variant,all_success,total_time,mean_time_per_source,policy_wall_time_s,optical_failed_count
1331,compact,True,6071.798162,404.78654413333334,8.348422300012317,7
1331,rollout,True,6054.477475,403.63183166666664,10.384234400000423,4
1332,compact,True,6101.912208,435.850872,6.535515199997462,3
1332,rollout,True,6080.834763,434.3453402142857,8.22167850000551,5
1333,compact,True,6801.045445,453.40302966666667,7.429138500010595,2
1333,rollout,True,6686.800733,445.78671553333334,11.960326200001873,1
1334,compact,True,5725.992259,408.99944707142856,7.287279100011801,7
1334,rollout,True,5722.614754,408.7581967142857,8.157629000008455,7
1335,compact,True,6182.167294,562.0152085454546,7.200613799999701,6
1335,rollout,True,6163.880058,560.3527325454545,8.439422800001921,6
1336,compact,True,6211.594174,477.8149364615384,5.979284299988649,3
1336,rollout,True,6174.528405,474.96372346153845,8.027342699992005,2
1337,compact,True,5620.19086,374.6793906666666,5.57454410000355,1
1337,rollout,True,5970.005109,398.00034059999996,8.425285799996345,6
1338,compact,True,6251.654389,480.89649146153846,8.955388699992909,1
1338,rollout,True,6249.098945,480.6999188461538,9.279643100002431,3
1339,compact,True,5967.681285,542.5164804545454,6.193187500000931,4
1339,rollout,True,5944.775481,540.4341346363636,8.072470499988412,4
1340,compact,True,5761.140229,384.0760152666666,6.517821000001277,2
1340,rollout,True,5813.42975,387.56198333333333,9.084964599998784,5
